"Name","Category","Calories Kcal","Protein G","Fat G","Carbohydrates G","Fiber G","Cholesterol Mg","Calcium Mg","Phosphorus Mg","Iron Mg","Sodium Mg","Potassium Mg","Beta Carotene Mcg","Vitamin A Mcg","Vitamin B1 Mg","Vitamin C Mg"
"Gạo nếp cái","Ngũ cốc và sản phẩm chế biến từ chúng","346","8.6","1.5","74.9","0.6","","32","98","1.2","3","282","","","0.14",""
"Gạo tẻ","Ngũ cốc và sản phẩm chế biến từ chúng","344","7.9","1","76.2","0.4","","30","104","1.3","5","241","","","0.1",""
"Bắp tươi","Ngũ cốc và sản phẩm chế biến từ chúng","196","4.1","2.3","39.6","1.2","","20","187","1.5","","","170","","0.21",""
"Bánh bao","Ngũ cốc và sản phẩm chế biến từ chúng","219","6.1","0.5","47.5","0.5","","19","88","1.5","","","","","0.1",""
"Bánh tráng mỏng","Ngũ cốc và sản phẩm chế biến từ chúng","333","4","0.2","78.9","0.5","","20","65","0.3","","","","","",""
"Bánh đúc","Ngũ cốc và sản phẩm chế biến từ chúng","52","0.9","0.3","11.3","0.1","","50","19","0.4","","","","","",""
"Bánh mì","Ngũ cốc và sản phẩm chế biến từ chúng","249","7.9","0.8","52.6","0.2","","28","164","2","","","","","0.1",""
"Bánh phở","Ngũ cốc và sản phẩm chế biến từ chúng","141","3.2","","32.1","","","16","64","0.3","","","","","",""
"Bún","Ngũ cốc và sản phẩm chế biến từ chúng","110","1.7","","25.7","0.5","","12","32","0.2","","","","","0.04",""
"Củ sắn","Khoai củ và các sản phẩm chế biến từ chúng","152","1.1","0.2","36.4","1.5","","25","30","1.2","2","394","","","0.03","34"
"Củ từ","Khoai củ và các sản phẩm chế biến từ chúng","92","1.5","","21.5","1.2","","28","30","0.2","","","","","","2"
"Khoai lang","Khoai củ và các sản phẩm chế biến từ chúng","119","0.8","0.2","28.5","1.3","","34","49","1","31","210","150","","0.05","23"
"Khoai lang nghệ","Khoai củ và các sản phẩm chế biến từ chúng","116","1.2","0.3","27.1","0.8","","36","56","0.9","","","1470","","0.12","30"
"Khoai môn","Khoai củ và các sản phẩm chế biến từ chúng","109","1.5","0.2","25.2","1.2","","44","44","0.8","","","","","0.09","4"
"Khoai tây","Khoai củ và các sản phẩm chế biến từ chúng","92","2","","21","1","","10","50","1.2","7","396","29","","0.1","10"
"Miến dong","Khoai củ và các sản phẩm chế biến từ chúng","332","0.6","0.1","82.2","1.5","","40","120","1","","","","","",""
"Bột sắn dây","Khoai củ và các sản phẩm chế biến từ chúng","340","0.7","","84.3","0.8","","18","20","1.5","","","","","",""
"Khoai tây chiên","Khoai củ và các sản phẩm chế biến từ chúng","525","2.2","35.4","49.3","6.3","","37","130","2.1","","","","","0.15","1"
"Cùi dừa già","Hạt, quả giàu protein, chất béo và chế phẩm","368","4.8","36","6.2","4.2","","30","154","2","7","555","","","0.1","2"
"Cùi dừa non","Hạt, quả giàu protein, chất béo và chế phẩm","40","3.5","1.7","2.6","3.5","","4","53","1","","","","","0.04","6"
"Đậu đen (hạt)","Hạt, quả giàu protein, chất béo và chế phẩm","325","24.2","1.7","53.3","4","","56","354","6.1","","","30","","0.5","3"
"Đậu Hà lan (hạt)","Hạt, quả giàu protein, chất béo và chế phẩm","342","22.2","1.4","60.1","6","","57","303","4.4","9","135","70","","0.77",""
"Đậu xanh","Hạt, quả giàu protein, chất béo và chế phẩm","328","23.4","2.4","53.1","4.7","","64","377","4.8","6","1132","30","","0.72","4"
"Hạt điều","Hạt, quả giàu protein, chất béo và chế phẩm","605","18.4","46.3","28.7","0.6","","28","462","3.6","","","5","","0.25","1"
"Đậu phộng","Hạt, quả giàu protein, chất béo và chế phẩm","573","27.5","44.5","15.5","2.5","","68","420","2.2","4","421","10","","0.44",""
"Mè","Hạt, quả giàu protein,  chất béo và chế phẩm","568","20.1","46.4","17.6","3.5","","1200","379","10","49","508","15","","0.3",""
"Đậu phụ","Hạt, quả giàu protein, chất béo và chế phẩm","95","10.9","5.4","0.7","0.4","","24","85","2.2","","","","","0.03",""
"Thịt bê nạc","THỊT VÀ SẢN PHẨM CHẾ BIẾN","85","20","0.5","","","","8","176","1.7","","","","30","0.23","2"
"Thịt bò","THỊT VÀ SẢN PHẨM CHẾ BIẾN","118","21","3.8","","","59","12","226","3.1","83","378","","12","0.1","1"
"Thịt mông chó","THỊT VÀ SẢN PHẨM CHẾ BIẾN","338","16","30.4","","","","16","43","1","","","","","0.04",""
"Thịt vai chó","THỊT VÀ SẢN PHẨM CHẾ BIẾN","230","18","17.6","","","","20","36","0.7","","","","","0.04",""
"Thịt dê nạc","THỊT VÀ SẢN PHẨM CHẾ BIẾN","122","20.7","4.3","","","","11","129","2","","","","91","0.07","1"
